iter,C0,C1,C2,C3,estabilidad
115,-1.3057406236389535e-18,-4.8165132055785655e-65,1.762703586015365e-59,1.4385110732924683e-34,1.0
116,-9.237217545644924e-19,-1.3551928936494447e-65,5.563319902398751e-60,7.424039260015212e-35,1.0
117,-6.534696588345077e-19,-3.81302344789761e-66,1.755855526815514e-60,3.831486594545063e-35,1.0
118,-4.622848741054241e-19,-1.0728471114590939e-66,5.5417065441792564e-61,1.977399231068781e-35,1.0
119,-3.2703477803058887e-19,-3.018604370767113e-67,1.7490340721538147e-61,1.0205197441114051e-35,1.0
120,-2.3135463008276185e-19,-8.493262693154715e-68,5.520177153314097e-62,5.266819829591519e-36,1.0
121,-1.6366750100114785e-19,-2.389697433473271e-68,1.7422391186723038e-62,2.718163100463274e-36,1.0
122,-1.1578350895496787e-19,-6.723745667435123e-69,5.498731403592208e-63,1.4028219836206441e-36,1.0
123,-8.190887539628961e-20,-1.8918192390006706e-69,1.735470563414562e-63,7.239850755806211e-37,1.0
124,-5.794490017826528e-20,-5.322896210050035e-70,5.4773689700698466e-64,3.73642839778323e-37,1.0
125,-4.099203462902415e-20,-1.4976707858162862e-70,1.728728303824152e-64,1.9283404648313512e-37,1.0
126,-2.899904733389119e-20,-4.213904788247764e-71,5.456089529065669e-65,9.952009117884135e-38,1.0
127,-2.0514833037290523e-20,-1.1856406449658572e-71,1.722012237743066e-65,5.136151384507249e-38,1.0
128,-1.4512834497706048e-20,-3.335964644753147e-72,5.434892758155823e-66,2.6507261731874603e-38,1.0
129,-1.0266833016625152e-20,-9.386199906602782e-73,1.7153222634101776e-66,1.3680183310825702e-38,1.0
130,-7.2630787740276e-21,-2.640937721725444e-73,5.413778336169068e-67,7.060231921004197e-39,1.0
131,-5.138129079562129e-21,-7.430645116695294e-74,1.7086582794596997e-67,3.643728570429366e-39,1.0
132,-3.634873207302714e-21,-2.090715218160976e-74,5.392745943181903e-68,1.8804988339639188e-39,1.0
133,-2.571422988519602e-21,-5.882517674850143e-75,1.702020184919649e-68,9.70510233182093e-40,1.0
134,-1.819105044050141e-21,-1.6551280582997112e-75,5.371795260513725e-69,5.008724789931099e-40,1.0
135,-1.2868918011788397e-21,-4.656932695813378e-76,1.6954078792103159e-69,2.5849623387292296e-40,1.0
136,-9.103875080540266e-22,-1.3102927005910598e-76,5.350925970721994e-70,1.334078148210736e-40,1.0
137,-6.440365958207245e-22,-3.686690517914701e-77,1.6888212621427397e-70,6.885069383286725e-41,1.0
138,-4.556116303077964e-22,-1.0373015867943929e-77,5.330137757597427e-71,3.5533286019451456e-41,1.0
139,-3.2231391666058543e-22,-2.9185920997100107e-78,1.6822602339171919e-71,1.833844141651061e-41,1.0
140,-2.2801494510336497e-22,-8.21186427643835e-79,5.309430306159207e-72,9.464321239603252e-42,1.0
141,-1.6130490339714304e-22,-2.3105220801956053e-79,1.6757246951216633e-72,4.884459616385928e-42,1.0
142,-1.1411213351899565e-22,-6.500974813220912e-80,5.288803302650208e-73,2.5208300880861794e-42,1.0
143,-8.07264921401498e-23,-1.829139564792853e-80,1.669214546730358e-73,1.3009800125448494e-42,1.0
